Team,Pressing Intensity,Pressing Resistance,Possession,Field tilt %,Tempo,Directness,Defensive height,Crossing,Air duels,Set Pieces,Dribbling,Width,Shot_Distance,Aggression,Box_Focus,Main_Style,Tactical_Profile
bayern munich,72.90589451913134,100.0,99.41434846266473,97.61314277442612,100.0,70.53337090672538,100.0,58.96248263084762,50.49701789264414,66.66666666666667,73.92899609308647,42.624124740284756,16.7,72.24787976831021,89.22155688622755,Possession,Press Resistant & Field tilt %
bologna,85.8708891595615,50.06741573033708,85.06588579795023,77.44086606922617,94.90952195463544,74.51909160566134,95.09668842156152,85.8267716535433,79.19151756129888,87.5,65.51864044652703,70.0728255761174,17.5,98.01994793689144,85.14285714285714,High Pressing,Intense Press & Cross-Heavy
bournemouth,80.02270147559591,44.62921348314607,71.01024890190337,81.24372934159062,89.42208920526578,83.70606762579375,88.76183584866654,83.46456692913385,78.13121272365805,70.83333333333333,85.51772244859865,88.23300970873787,16.7,84.76054080527152,89.22155688622755,Wing-Play,Wing Play & Cross-Heavy
brentford,60.67125645438899,46.51685393258427,70.13177159590045,64.89620507304734,91.01502786198473,85.72817686395362,89.24373730534869,71.65354330708662,78.92644135188867,77.08333333333333,80.26261073859101,70.64123090898768,14.9,65.39322345010439,100.0,Kick and Rush,Aerial & Patient
brest,65.70363466915191,51.46067415730337,70.86383601756955,64.11807192817272,92.16361182504741,81.6167683605859,88.4838850174216,56.322371468272344,69.05235255135851,84.375,67.7945357409257,71.7072192262219,17.0,77.59323415528836,87.6470588235294,Standard,Set-Piece & Wing Play
brighton,75.24012806830311,58.96629213483146,76.57393850658859,75.09981607209498,92.69934292847024,76.3630160033306,91.4081053698075,68.50393700787401,65.00994035785288,72.91666666666667,92.6049097239839,65.75630804851738,17.2,76.00112109156038,86.6279069767442,Possession,Dribblers & Intense Press
cagliari,53.53075170842825,42.11235955056179,65.7393850658858,58.830470930726555,91.28020808247796,91.66959014141646,79.67551779075943,70.07874015748031,79.92047713717695,91.66666666666667,76.68887855764484,85.97092908234548,16.0,96.26713592944877,93.125,Kick and Rush,Wing Play & Set-Piece
celta vigo,55.12118842845974,59.056179775280896,78.47730600292826,70.42579985185321,96.76590529508742,75.15428389393004,85.24504504504503,41.732283464566926,53.943008614976804,42.708333333333336,68.76865191148299,42.2485643374619,17.9,89.97797948332348,83.24022346368716,Possession,Aggressive & Press Resistant
chelsea,81.40877598152424,64.13483146067416,83.60175695461201,77.01443344952158,96.70911345156883,71.32936206580112,90.97181729834791,57.480314960629926,52.485089463220675,62.5,85.42219150917947,55.734075301918075,16.7,85.11084451006931,89.22155688622755,Possession,Intense Press & Press Resistant
como,100.0,57.07865168539326,79.94143484626647,68.23444730692674,94.39346173680752,80.07928364921895,86.7319543201896,47.24409448818898,63.552021206096754,87.5,73.61130493149021,53.06721313217761,17.9,88.06504270654911,83.24022346368716,High Pressing,Intense Press & Set-Piece
crystal palace,50.285306704707565,46.29213483146067,62.664714494875554,61.145065732283044,88.3829586054752,84.91923560997344,81.9457999627491,54.330708661417326,76.01060304837641,79.16666666666667,67.46467676511077,68.82702620755278,16.8,69.49726209079091,88.69047619047619,Park the Bus,Aerial & Set-Piece
espanyol,55.294117647058826,42.15730337078652,58.27232796486091,54.32545288088022,86.97974623419795,90.48009450378778,71.15625,63.779527559055126,66.0702451954937,76.04166666666667,81.60853665455379,79.26494948626099,18.4,86.7095915656232,80.97826086956522,Park the Bus,Wing Play & Vertical
everton,50.9393063583815,40.13483146067416,59.88286969253294,67.88534832953492,88.12947235368956,89.23331673700925,81.86455893832942,72.44094488188976,78.0649436713055,67.70833333333333,90.15269160579189,81.74298887322672,16.8,72.1869371504408,88.69047619047619,Park the Bus,Wing Play & Aerial
fiorentina,69.59526159921026,49.93258426966292,74.6705710102489,63.34712976928087,93.45818227959475,79.18343308193553,81.47457627118645,58.26771653543307,65.9377070907886,61.458333333333336,77.02135940817563,60.18463790455385,18.0,89.33837449272889,82.77777777777779,Counter-Attack,Aggressive & Intense Press
freiburg,52.927927927927925,56.08988764044944,71.30307467057101,67.26817628396299,93.30938635573312,82.13127039254655,85.65362035225048,65.1227420101899,79.78793903247184,65.625,66.26138617881136,64.13276079698946,16.9,72.47946554699807,88.16568047337279,Kick and Rush,Aerial & Press Resistant
